"","GEOID","NAME","variable","estimate","moe"
"1","01","Alabama","C23002B_008",25213,1197
"2","02","Alaska","C23002B_008",421,170
"3","04","Arizona","C23002B_008",6703,757
"4","05","Arkansas","C23002B_008",8987,939
"5","06","California","C23002B_008",56067,2246
"6","08","Colorado","C23002B_008",4710,705
"7","09","Connecticut","C23002B_008",10306,1023
"8","10","Delaware","C23002B_008",4284,783
"9","11","District of Columbia","C23002B_008",9988,1068
"10","12","Florida","C23002B_008",70491,3158
"11","13","Georgia","C23002B_008",63699,2961
"12","15","Hawaii","C23002B_008",660,214
"13","16","Idaho","C23002B_008",135,102
"14","17","Illinois","C23002B_008",56882,2151
"15","18","Indiana","C23002B_008",14844,1015
"16","19","Iowa","C23002B_008",3304,440
"17","20","Kansas","C23002B_008",3653,415
"18","21","Kentucky","C23002B_008",7615,893
"19","22","Louisiana","C23002B_008",34395,1717
"20","23","Maine","C23002B_008",242,91
"21","24","Maryland","C23002B_008",34867,1683
"22","25","Massachusetts","C23002B_008",12324,1096
"23","26","Michigan","C23002B_008",42033,1575
"24","27","Minnesota","C23002B_008",8129,827
"25","28","Mississippi","C23002B_008",23840,1455
"26","29","Missouri","C23002B_008",13675,986
"27","30","Montana","C23002B_008",303,172
"28","31","Nebraska","C23002B_008",2192,412
"29","32","Nevada","C23002B_008",7884,753
"30","33","New Hampshire","C23002B_008",598,226
"31","34","New Jersey","C23002B_008",28261,1433
"32","35","New Mexico","C23002B_008",1093,358
"33","36","New York","C23002B_008",66925,2075
"34","37","North Carolina","C23002B_008",46864,2190
"35","38","North Dakota","C23002B_008",499,199
"36","39","Ohio","C23002B_008",38110,2030
"37","40","Oklahoma","C23002B_008",6775,700
"38","41","Oregon","C23002B_008",1587,316
"39","42","Pennsylvania","C23002B_008",37959,2327
"40","44","Rhode Island","C23002B_008",1447,341
"41","45","South Carolina","C23002B_008",25488,1395
"42","46","South Dakota","C23002B_008",163,123
"43","47","Tennessee","C23002B_008",24147,1686
"44","48","Texas","C23002B_008",70626,2381
"45","49","Utah","C23002B_008",936,324
"46","50","Vermont","C23002B_008",167,114
"47","51","Virginia","C23002B_008",30395,1542
"48","53","Washington","C23002B_008",7349,774
"49","54","West Virginia","C23002B_008",1782,400
"50","55","Wisconsin","C23002B_008",7533,660
"51","56","Wyoming","C23002B_008",140,111
"52","72","Puerto Rico","C23002B_008",11688,921
