"","GEOID","NAME","variable","estimate","moe"
"1","01","Alabama","C23002B_008",35313,1305
"2","02","Alaska","C23002B_008",881,229
"3","04","Arizona","C23002B_008",7926,657
"4","05","Arkansas","C23002B_008",12987,812
"5","06","California","C23002B_008",80760,2277
"6","08","Colorado","C23002B_008",6159,693
"7","09","Connecticut","C23002B_008",15554,1009
"8","10","Delaware","C23002B_008",5126,533
"9","11","District of Columbia","C23002B_008",12037,804
"10","12","Florida","C23002B_008",105045,2776
"11","13","Georgia","C23002B_008",94972,2645
"12","15","Hawaii","C23002B_008",383,143
"13","16","Idaho","C23002B_008",295,159
"14","17","Illinois","C23002B_008",77045,2151
"15","18","Indiana","C23002B_008",21369,1168
"16","19","Iowa","C23002B_008",2944,396
"17","20","Kansas","C23002B_008",4562,505
"18","21","Kentucky","C23002B_008",9911,754
"19","22","Louisiana","C23002B_008",40613,1581
"20","23","Maine","C23002B_008",627,162
"21","24","Maryland","C23002B_008",48586,1648
"22","25","Massachusetts","C23002B_008",15303,827
"23","26","Michigan","C23002B_008",56297,1697
"24","27","Minnesota","C23002B_008",10490,800
"25","28","Mississippi","C23002B_008",33816,1493
"26","29","Missouri","C23002B_008",23490,1287
"27","30","Montana","C23002B_008",141,84
"28","31","Nebraska","C23002B_008",2185,307
"29","32","Nevada","C23002B_008",9364,758
"30","33","New Hampshire","C23002B_008",457,197
"31","34","New Jersey","C23002B_008",41892,1576
"32","35","New Mexico","C23002B_008",934,189
"33","36","New York","C23002B_008",94440,2164
"34","37","North Carolina","C23002B_008",68635,1840
"35","38","North Dakota","C23002B_008",362,143
"36","39","Ohio","C23002B_008",54813,1630
"37","40","Oklahoma","C23002B_008",7228,571
"38","41","Oregon","C23002B_008",3051,455
"39","42","Pennsylvania","C23002B_008",49681,1688
"40","44","Rhode Island","C23002B_008",1982,378
"41","45","South Carolina","C23002B_008",41327,1699
"42","46","South Dakota","C23002B_008",140,71
"43","47","Tennessee","C23002B_008",31538,1439
"44","48","Texas","C23002B_008",84554,2467
"45","49","Utah","C23002B_008",825,232
"46","50","Vermont","C23002B_008",205,97
"47","51","Virginia","C23002B_008",40357,1547
"48","53","Washington","C23002B_008",8028,796
"49","54","West Virginia","C23002B_008",1800,303
"50","55","Wisconsin","C23002B_008",12428,672
"51","56","Wyoming","C23002B_008",171,159
"52","72","Puerto Rico","C23002B_008",12297,832
