"","GEOID","NAME","variable","estimate","moe"
"1","01","Alabama","C23002B_008",32773,1378
"2","02","Alaska","C23002B_008",755,219
"3","04","Arizona","C23002B_008",7186,643
"4","05","Arkansas","C23002B_008",11770,871
"5","06","California","C23002B_008",73895,2327
"6","08","Colorado","C23002B_008",4890,612
"7","09","Connecticut","C23002B_008",13701,867
"8","10","Delaware","C23002B_008",4513,567
"9","11","District of Columbia","C23002B_008",11148,696
"10","12","Florida","C23002B_008",93074,2845
"11","13","Georgia","C23002B_008",85310,2771
"12","15","Hawaii","C23002B_008",433,165
"13","16","Idaho","C23002B_008",197,126
"14","17","Illinois","C23002B_008",71112,2123
"15","18","Indiana","C23002B_008",19446,1200
"16","19","Iowa","C23002B_008",2791,423
"17","20","Kansas","C23002B_008",4156,416
"18","21","Kentucky","C23002B_008",9912,776
"19","22","Louisiana","C23002B_008",38162,1580
"20","23","Maine","C23002B_008",542,156
"21","24","Maryland","C23002B_008",44389,1615
"22","25","Massachusetts","C23002B_008",14233,791
"23","26","Michigan","C23002B_008",50411,1507
"24","27","Minnesota","C23002B_008",9838,735
"25","28","Mississippi","C23002B_008",30671,1278
"26","29","Missouri","C23002B_008",20499,1120
"27","30","Montana","C23002B_008",189,115
"28","31","Nebraska","C23002B_008",2046,316
"29","32","Nevada","C23002B_008",8524,599
"30","33","New Hampshire","C23002B_008",465,170
"31","34","New Jersey","C23002B_008",37753,1457
"32","35","New Mexico","C23002B_008",874,188
"33","36","New York","C23002B_008",87127,2088
"34","37","North Carolina","C23002B_008",59383,2324
"35","38","North Dakota","C23002B_008",293,134
"36","39","Ohio","C23002B_008",48600,1650
"37","40","Oklahoma","C23002B_008",7265,584
"38","41","Oregon","C23002B_008",2670,392
"39","42","Pennsylvania","C23002B_008",45343,1663
"40","44","Rhode Island","C23002B_008",1580,341
"41","45","South Carolina","C23002B_008",36944,1807
"42","46","South Dakota","C23002B_008",100,66
"43","47","Tennessee","C23002B_008",28346,1495
"44","48","Texas","C23002B_008",77653,2377
"45","49","Utah","C23002B_008",745,228
"46","50","Vermont","C23002B_008",148,73
"47","51","Virginia","C23002B_008",36903,1631
"48","53","Washington","C23002B_008",7631,769
"49","54","West Virginia","C23002B_008",1795,275
"50","55","Wisconsin","C23002B_008",10892,787
"51","56","Wyoming","C23002B_008",137,109
"52","72","Puerto Rico","C23002B_008",12089,849
