"","GEOID","NAME","variable","estimate","moe"
"1","01","Alabama","C23002B_008",29917,1412
"2","02","Alaska","C23002B_008",546,192
"3","04","Arizona","C23002B_008",7064,674
"4","05","Arkansas","C23002B_008",9994,816
"5","06","California","C23002B_008",65163,1872
"6","08","Colorado","C23002B_008",4622,577
"7","09","Connecticut","C23002B_008",12039,664
"8","10","Delaware","C23002B_008",4569,550
"9","11","District of Columbia","C23002B_008",9671,727
"10","12","Florida","C23002B_008",82669,2305
"11","13","Georgia","C23002B_008",72726,2652
"12","15","Hawaii","C23002B_008",464,177
"13","16","Idaho","C23002B_008",281,166
"14","17","Illinois","C23002B_008",64906,2257
"15","18","Indiana","C23002B_008",17765,987
"16","19","Iowa","C23002B_008",3039,397
"17","20","Kansas","C23002B_008",3540,502
"18","21","Kentucky","C23002B_008",9465,777
"19","22","Louisiana","C23002B_008",36912,1666
"20","23","Maine","C23002B_008",454,156
"21","24","Maryland","C23002B_008",39265,1554
"22","25","Massachusetts","C23002B_008",13721,998
"23","26","Michigan","C23002B_008",46452,1531
"24","27","Minnesota","C23002B_008",9209,768
"25","28","Mississippi","C23002B_008",28502,1435
"26","29","Missouri","C23002B_008",18712,1233
"27","30","Montana","C23002B_008",180,111
"28","31","Nebraska","C23002B_008",1988,261
"29","32","Nevada","C23002B_008",6692,588
"30","33","New Hampshire","C23002B_008",439,147
"31","34","New Jersey","C23002B_008",34767,1742
"32","35","New Mexico","C23002B_008",1023,260
"33","36","New York","C23002B_008",76826,1999
"34","37","North Carolina","C23002B_008",52608,1948
"35","38","North Dakota","C23002B_008",512,194
"36","39","Ohio","C23002B_008",45027,1679
"37","40","Oklahoma","C23002B_008",7107,596
"38","41","Oregon","C23002B_008",2256,437
"39","42","Pennsylvania","C23002B_008",42941,1895
"40","44","Rhode Island","C23002B_008",1511,308
"41","45","South Carolina","C23002B_008",32480,1608
"42","46","South Dakota","C23002B_008",121,72
"43","47","Tennessee","C23002B_008",25844,1627
"44","48","Texas","C23002B_008",72110,2449
"45","49","Utah","C23002B_008",746,201
"46","50","Vermont","C23002B_008",80,51
"47","51","Virginia","C23002B_008",33401,1257
"48","53","Washington","C23002B_008",7406,780
"49","54","West Virginia","C23002B_008",1721,270
"50","55","Wisconsin","C23002B_008",9634,669
"51","56","Wyoming","C23002B_008",154,114
"52","72","Puerto Rico","C23002B_008",13221,870
