"","GEOID","NAME","variable","estimate","moe"
"1","01","Alabama","C23002B_008",45233,1465
"2","02","Alaska","C23002B_008",1080,272
"3","04","Arizona","C23002B_008",10266,700
"4","05","Arkansas","C23002B_008",17049,1010
"5","06","California","C23002B_008",96004,2226
"6","08","Colorado","C23002B_008",8505,830
"7","09","Connecticut","C23002B_008",18135,951
"8","10","Delaware","C23002B_008",6119,552
"9","11","District of Columbia","C23002B_008",14773,784
"10","12","Florida","C23002B_008",132598,3228
"11","13","Georgia","C23002B_008",118518,3153
"12","15","Hawaii","C23002B_008",682,203
"13","16","Idaho","C23002B_008",425,151
"14","17","Illinois","C23002B_008",88557,2041
"15","18","Indiana","C23002B_008",24461,1065
"16","19","Iowa","C23002B_008",3302,409
"17","20","Kansas","C23002B_008",6834,665
"18","21","Kentucky","C23002B_008",12866,873
"19","22","Louisiana","C23002B_008",46970,1623
"20","23","Maine","C23002B_008",614,164
"21","24","Maryland","C23002B_008",58504,1852
"22","25","Massachusetts","C23002B_008",18411,1092
"23","26","Michigan","C23002B_008",74484,1717
"24","27","Minnesota","C23002B_008",11910,787
"25","28","Mississippi","C23002B_008",39071,1687
"26","29","Missouri","C23002B_008",30299,1403
"27","30","Montana","C23002B_008",43,37
"28","31","Nebraska","C23002B_008",3240,476
"29","32","Nevada","C23002B_008",10650,924
"30","33","New Hampshire","C23002B_008",470,162
"31","34","New Jersey","C23002B_008",47743,1488
"32","35","New Mexico","C23002B_008",1206,299
"33","36","New York","C23002B_008",108053,2388
"34","37","North Carolina","C23002B_008",85059,2387
"35","38","North Dakota","C23002B_008",249,111
"36","39","Ohio","C23002B_008",67502,1769
"37","40","Oklahoma","C23002B_008",7162,494
"38","41","Oregon","C23002B_008",3649,448
"39","42","Pennsylvania","C23002B_008",54892,1619
"40","44","Rhode Island","C23002B_008",2268,388
"41","45","South Carolina","C23002B_008",53603,2037
"42","46","South Dakota","C23002B_008",341,165
"43","47","Tennessee","C23002B_008",41915,1701
"44","48","Texas","C23002B_008",99859,2674
"45","49","Utah","C23002B_008",1008,243
"46","50","Vermont","C23002B_008",358,143
"47","51","Virginia","C23002B_008",49416,2048
"48","53","Washington","C23002B_008",10635,919
"49","54","West Virginia","C23002B_008",1908,316
"50","55","Wisconsin","C23002B_008",16702,771
"51","56","Wyoming","C23002B_008",299,148
"52","72","Puerto Rico","C23002B_008",13773,941
