"","GEOID","NAME","variable","estimate","moe"
"1","01","Alabama","C23002B_008",25283,1439
"2","02","Alaska","C23002B_008",354,152
"3","04","Arizona","C23002B_008",6206,774
"4","05","Arkansas","C23002B_008",9708,928
"5","06","California","C23002B_008",57064,2180
"6","08","Colorado","C23002B_008",5086,791
"7","09","Connecticut","C23002B_008",9973,965
"8","10","Delaware","C23002B_008",4084,568
"9","11","District of Columbia","C23002B_008",9745,1058
"10","12","Florida","C23002B_008",67133,3079
"11","13","Georgia","C23002B_008",62588,3096
"12","15","Hawaii","C23002B_008",976,314
"13","16","Idaho","C23002B_008",180,118
"14","17","Illinois","C23002B_008",57066,2035
"15","18","Indiana","C23002B_008",14861,1248
"16","19","Iowa","C23002B_008",3453,466
"17","20","Kansas","C23002B_008",4031,643
"18","21","Kentucky","C23002B_008",7841,832
"19","22","Louisiana","C23002B_008",36013,2283
"20","23","Maine","C23002B_008",268,89
"21","24","Maryland","C23002B_008",36540,1786
"22","25","Massachusetts","C23002B_008",12320,984
"23","26","Michigan","C23002B_008",42835,1780
"24","27","Minnesota","C23002B_008",8379,817
"25","28","Mississippi","C23002B_008",22998,1469
"26","29","Missouri","C23002B_008",13151,1095
"27","30","Montana","C23002B_008",272,151
"28","31","Nebraska","C23002B_008",2047,350
"29","32","Nevada","C23002B_008",8418,735
"30","33","New Hampshire","C23002B_008",535,229
"31","34","New Jersey","C23002B_008",29474,1552
"32","35","New Mexico","C23002B_008",1159,264
"33","36","New York","C23002B_008",71057,2698
"34","37","North Carolina","C23002B_008",45405,2127
"35","38","North Dakota","C23002B_008",460,237
"36","39","Ohio","C23002B_008",37259,1724
"37","40","Oklahoma","C23002B_008",5752,491
"38","41","Oregon","C23002B_008",1310,312
"39","42","Pennsylvania","C23002B_008",38885,1858
"40","44","Rhode Island","C23002B_008",1511,361
"41","45","South Carolina","C23002B_008",25053,1576
"42","46","South Dakota","C23002B_008",194,138
"43","47","Tennessee","C23002B_008",25455,1450
"44","48","Texas","C23002B_008",73895,3420
"45","49","Utah","C23002B_008",674,236
"46","50","Vermont","C23002B_008",175,87
"47","51","Virginia","C23002B_008",31114,1858
"48","53","Washington","C23002B_008",8066,1004
"49","54","West Virginia","C23002B_008",1416,317
"50","55","Wisconsin","C23002B_008",7267,802
"51","56","Wyoming","C23002B_008",189,140
"52","72","Puerto Rico","C23002B_008",10722,955
