"","GEOID","NAME","variable","estimate","moe"
"1","01","Alabama","C23002B_008",26574,1432
"2","02","Alaska","C23002B_008",405,156
"3","04","Arizona","C23002B_008",6469,755
"4","05","Arkansas","C23002B_008",8850,740
"5","06","California","C23002B_008",58022,2186
"6","08","Colorado","C23002B_008",4473,664
"7","09","Connecticut","C23002B_008",10703,898
"8","10","Delaware","C23002B_008",4285,534
"9","11","District of Columbia","C23002B_008",9133,691
"10","12","Florida","C23002B_008",74757,2319
"11","13","Georgia","C23002B_008",64829,2395
"12","15","Hawaii","C23002B_008",540,174
"13","16","Idaho","C23002B_008",207,121
"14","17","Illinois","C23002B_008",60160,1978
"15","18","Indiana","C23002B_008",15578,1114
"16","19","Iowa","C23002B_008",3426,512
"17","20","Kansas","C23002B_008",3341,407
"18","21","Kentucky","C23002B_008",8204,897
"19","22","Louisiana","C23002B_008",35327,1789
"20","23","Maine","C23002B_008",380,126
"21","24","Maryland","C23002B_008",34621,1401
"22","25","Massachusetts","C23002B_008",12838,895
"23","26","Michigan","C23002B_008",43360,1671
"24","27","Minnesota","C23002B_008",8590,770
"25","28","Mississippi","C23002B_008",25447,1418
"26","29","Missouri","C23002B_008",15527,859
"27","30","Montana","C23002B_008",146,109
"28","31","Nebraska","C23002B_008",2102,325
"29","32","Nevada","C23002B_008",7055,711
"30","33","New Hampshire","C23002B_008",417,174
"31","34","New Jersey","C23002B_008",31623,1469
"32","35","New Mexico","C23002B_008",961,244
"33","36","New York","C23002B_008",70464,2021
"34","37","North Carolina","C23002B_008",47032,2055
"35","38","North Dakota","C23002B_008",474,217
"36","39","Ohio","C23002B_008",40260,1558
"37","40","Oklahoma","C23002B_008",6794,537
"38","41","Oregon","C23002B_008",1943,388
"39","42","Pennsylvania","C23002B_008",38782,1818
"40","44","Rhode Island","C23002B_008",1737,356
"41","45","South Carolina","C23002B_008",28437,1604
"42","46","South Dakota","C23002B_008",238,146
"43","47","Tennessee","C23002B_008",23266,1337
"44","48","Texas","C23002B_008",67885,2433
"45","49","Utah","C23002B_008",786,226
"46","50","Vermont","C23002B_008",130,80
"47","51","Virginia","C23002B_008",29875,1379
"48","53","Washington","C23002B_008",6952,818
"49","54","West Virginia","C23002B_008",1749,337
"50","55","Wisconsin","C23002B_008",8579,629
"51","56","Wyoming","C23002B_008",195,116
"52","72","Puerto Rico","C23002B_008",13263,989
