"","GEOID","NAME","variable","estimate","moe"
"1","01","Alabama","C23002B_008",38418,1480
"2","02","Alaska","C23002B_008",1073,281
"3","04","Arizona","C23002B_008",9308,798
"4","05","Arkansas","C23002B_008",15317,955
"5","06","California","C23002B_008",89299,2098
"6","08","Colorado","C23002B_008",7255,699
"7","09","Connecticut","C23002B_008",17262,1177
"8","10","Delaware","C23002B_008",5466,577
"9","11","District of Columbia","C23002B_008",13175,864
"10","12","Florida","C23002B_008",117346,2958
"11","13","Georgia","C23002B_008",103693,2642
"12","15","Hawaii","C23002B_008",636,203
"13","16","Idaho","C23002B_008",370,144
"14","17","Illinois","C23002B_008",82374,2175
"15","18","Indiana","C23002B_008",22147,1037
"16","19","Iowa","C23002B_008",3405,414
"17","20","Kansas","C23002B_008",5311,551
"18","21","Kentucky","C23002B_008",11500,721
"19","22","Louisiana","C23002B_008",42898,1612
"20","23","Maine","C23002B_008",728,183
"21","24","Maryland","C23002B_008",52687,1969
"22","25","Massachusetts","C23002B_008",15812,852
"23","26","Michigan","C23002B_008",63339,1910
"24","27","Minnesota","C23002B_008",11441,754
"25","28","Mississippi","C23002B_008",35584,1476
"26","29","Missouri","C23002B_008",26646,1224
"27","30","Montana","C23002B_008",132,96
"28","31","Nebraska","C23002B_008",2483,335
"29","32","Nevada","C23002B_008",10007,760
"30","33","New Hampshire","C23002B_008",500,182
"31","34","New Jersey","C23002B_008",45239,1603
"32","35","New Mexico","C23002B_008",1069,259
"33","36","New York","C23002B_008",103458,2270
"34","37","North Carolina","C23002B_008",76950,2131
"35","38","North Dakota","C23002B_008",263,108
"36","39","Ohio","C23002B_008",59329,1817
"37","40","Oklahoma","C23002B_008",7114,602
"38","41","Oregon","C23002B_008",3231,506
"39","42","Pennsylvania","C23002B_008",53439,1569
"40","44","Rhode Island","C23002B_008",1901,355
"41","45","South Carolina","C23002B_008",46995,1614
"42","46","South Dakota","C23002B_008",188,116
"43","47","Tennessee","C23002B_008",35399,1347
"44","48","Texas","C23002B_008",91192,2691
"45","49","Utah","C23002B_008",873,239
"46","50","Vermont","C23002B_008",192,91
"47","51","Virginia","C23002B_008",45826,1581
"48","53","Washington","C23002B_008",9106,738
"49","54","West Virginia","C23002B_008",1685,308
"50","55","Wisconsin","C23002B_008",14405,667
"51","56","Wyoming","C23002B_008",312,183
"52","72","Puerto Rico","C23002B_008",13070,765
